lat,lon,nome,rua,numero
-12.9496980,-38.3710682,Boteco da Cari,Rua Sub Oficial Gildo Zanin Pistolato,19
-12.9615609,-38.4977141,Bar Guanabara,Rua Nossa Senhora de Lourdes,
-12.9916129,-38.4597620,Tatu Bola,,
-12.9981057,-38.4999920,Bar da Loura,,
-12.9990873,-38.4599877,Purgatório,,
-13.0032297,-38.4515852,Jurerê Bar,,
-12.9669106,-38.4051973,Petiscaê,,
-13.0120795,-38.5007016,Brisa do mar,,6a
-12.9136726,-38.4697018,Bar,,
-12.9821915,-38.4526837,Toca do Cobra,,
-12.9495836,-38.3624191,Rasta do Coco,Rua Olhos D'Água,3-47
-13.0116519,-38.4905595,ECO,Rua Conselheiro Pedro Luiz,348
-13.0108612,-38.4945056,Boteco do Paulista,Rua da Paciência,263
-12.9706043,-38.5083239,Bar da Pri,Rua do Passo,06
-12.9838605,-38.5176269,Bar Âncora do Marujo,Avenida Carlos Gomes,809
-12.9829079,-38.5167971,Brahma,,
-13.0083158,-38.5003149,Cantinho dans Aguas,,
-13.0083101,-38.5002768,O barzinho da maria,,
-13.0103612,-38.4957229,Terê gastrobar,,
-13.0128377,-38.4895748,Saideira beer,,
-12.9748490,-38.4911230,Bar Da Lu,,
-12.9863784,-38.5199242,O colon,,
-13.0090969,-38.4868928,Bar Red river,,
